q0327  25:59.0-26:00.1  Мы же договорились!
q0328  26:00.2-26:02.9  Берни, это не экскурсия. Это разведоперация.
q0329  26:03.7-26:04.7  Теперь я понимаю.
q0330  26:05.4-26:06.5  Когда тебе что-то нужно:
q0331  26:06.6-26:08.5  Ты такой умный, Берни, способный.
q0332  26:08.6-26:10.6  Подпишусь на твой блог о титанах, Берни.
q0333  26:10.7-26:13.1  А когда я помог, меня отбриваешь.
q0334  26:13.6-26:15.8  Слушай. Это может быть опасно.
q0335  26:16.8-26:19.7  Брось. Опасность - это несуразность.
q0336  26:21.3-26:22.8  В рифму вышло случайно.
q0337  26:24.0-26:26.4  Ты у меня в долгу. Я помог разобраться.
q0338  26:27.1-26:30.0  Однажды мы уже спасли мир. Помнишь?
q0339  26:33.5-26:34.7  - Микаэл? - Да.
q0340  26:35.6-26:36.9  Готовь место еще для одного.
q0341  26:37.0-26:39.0  Спасибо, доктор Эндрюс! Не пожалеешь.
q0342  26:39.1-26:40.2  Ты шутишь?
q0343  26:42.0-26:43.2  Еще один пассажир. Привет!
q0344  26:46.3-26:47.4  Системы включены.
q0345  26:49.6-26:50.7  Мы действуем.
q0346  26:51.5-26:53.3  Направляемся на Полую Землю.
q0347  26:53.3-26:57.0  Я направляюсь на Полую Землю.
q0348  26:57.1-26:58.7  Боже мой. Что я делаю?
q0349  26:59.8-27:02.5  Есть ли летное руководство, о котором я должен знать?
q0350  27:02.6-27:03.8  Да, есть.
q0351  27:03.8-27:05.3  - Он очень... - Нет парашютов,
q0352  27:05.4-27:08.3  нет плавсредств. Прикоснешься к чему-то,
q0353  27:08.4-27:12.0  лишишься руки. Если намерен умереть, делай это вне моего судна.
q0354  27:14.0-27:16.7  Хорошее руководство. Отличное.
q0355  27:17.3-27:21.0  Не воспринимай Микаэла лично. Агрессия - его язык любви.
q0356  27:27.2-27:29.8  Ладно, Микаэл. Рванем!
q0357  27:39.3-27:41.3  ВСПЗ 1, можете стартовать.
q0358  27:41.4-27:42.7  Погнали.
q0359  27:54.7-27:56.6  Старайся не проглотить язык.
q0360  27:56.7-28:00.2  Что? Не проглотить язык? Толком не знаю, что это значит.
q0361  28:03.6-28:05.7  База - ВСПЗ: можете направляться внутрь.
q0362  28:06.5-28:08.1  Считайте, доктор Эндрюс.
q0363  28:08.2-28:09.8  - Три. - Ладно, вперед.
q0364  28:09.9-28:11.4  Два и один.
q0365  28:11.5-28:13.1  Боже мой!
q0366  28:38.9-28:43.8  Я превращаюсь в воду.
q0367  29:05.3-29:08.5  Системы полета активны. Системы стабилизированы.
q0368  29:08.6-29:10.1  Все системы работают, док.
q0369  29:10.2-29:11.8  Как у всех дела? Ты в порядке?
q0370  29:11.9-29:13.5  - Лучше некуда. - Да?
q0371  29:13.6-29:14.9  Берни, ты в порядке?
q0372  29:19.3-29:22.2  Славно. Ого!
q0373  29:43.7-29:46.6  Конг направляется домой. Далеко до форпоста?
q0374  29:46.7-29:49.0  Сто километров. Они не отвечают.
q0375  29:51.1-29:52.2  Опасное сближение.
q0376  29:53.9-29:56.2  - Хищники слева. - Где? Что?
q0377  29:56.3-29:59.1  Это вертасины, Микаэл. Так называются.
q0378  29:59.1-30:00.4  Они - проблема?
q0379  30:00.5-30:02.0  Нет. Совершенно безобидные.
q0380  30:02.1-30:03.5  Только если их разозлить,
q0381  30:03.6-30:05.7  выпустят биоэлектрический разряд молнии.
q0382  30:09.5-30:11.3  Хищники держатся от них подальше.
q0383  30:11.4-30:13.9  Поэтому они - идеальные спутники для тех,
q0384  30:14.0-30:19.1  у кого крутая биомимикрическая маскировка. У нас она есть.
q0385  30:33.6-30:35.4  - Говори! - Дело плохо.
q0386  30:35.5-30:39.3  Годзилла только что ворвался во Францию. Оперативная группа в пяти километрах.
q0387  30:42.9-30:45.1  МОНТАНЬЯК, ФРАНЦИЯ
q0388  30:47.2-30:49.2  Оперативная группа - станции Монарх:
q0389  30:50.4-30:52.2  приближаемся к Годзилле.
q0390  30:55.6-30:56.4  Есть изображение.
q0391  30:57.9-31:00.4  Боже, это атомная станция.
q0392  31:12.8-31:14.7  Реакторы повреждены!
q0393  31:15.5-31:17.3  Территория подвергнута излучению!
q0394  31:18.4-31:20.0  Нам надо отступать!
q0395  31:25.3-31:27.7  Уровень атмосферной радиации падает. Он ее поглощает.
q0396  31:27.8-31:29.6  Он для чего-то заряжается.
q0397  32:06.2-32:09.0  Годзилла поглотил большой объем радиации.
q0398  32:09.1-32:11.2  Он явно к чему-то готовится...
q0399  32:12.3-32:14.3  - Вне зоны. - Проклятье.
q0400  32:14.4-32:16.3  Приближаемся к первому форпосту.
q0401  32:25.9-32:27.0  О Боже.
q0402  32:27.1-32:29.1  Выглядит нехорошо, верно?
q0403  32:30.0-32:31.4  Ты это видишь, док?
q0404  32:32.5-32:33.9  Да, я вижу.
q0405  33:03.5-33:05.2  Тепловых сигналов нет.
q0406  33:06.0-33:07.7  Вот вам и выжившие.
q0407  33:07.8-33:10.8  Относись с уважением. У этих людей были семьи.
q0408  33:11.6-33:12.9  Что могло это сделать?
q0409  33:14.0-33:17.1  Я не понимаю. Форпост беспрепятственно работал годами.
q0410  33:17.2-33:18.6  Зачем сейчас нападать?
q0411  33:19.1-33:20.2  Что изменилось?
q0412  33:25.0-33:28.0  Эй, док. Здесь камера.
